0	4	4	4	4	4	4	4	1	4	4	4	4	4	4	4	1	
4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	
4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	
4	9	8	8	8	8	8	8	18	8	8	8	8	8	10	4	4	
4	16	7	7	7	7	7	7	17	7	7	7	7	7	5	4	4		
4	16	7	7	7	7	7	7	17	7	7	7	7	7	5	4	4	
4	6	14	14	14	14	14	14	19	14	14	14	14	14	13	4	4	
4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	
1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	1	
4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	
4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	
4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	
4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	
4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	
4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	
4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	
1	4	4	4	4	4	4	4	1	4	4	4	4	4	4	4	1	
